   id,    y+,          layer,       ux_1,        yplus_1
    1     0.933551     1.000000     0.058360     0.936595
    2     1.636846     1.000000     0.066416     1.643255
    3     2.171746     1.000000     0.085253     2.182589
    4     2.691894     1.000000     0.119746     2.707986
    5     3.262530     1.000000     0.173659     3.281347
    6     3.902157     1.000000     0.240921     3.914545
    7     4.553972     1.000000     0.299640     4.549720
    8     5.100133     1.000000     0.326098     5.080401
    9     5.442445     1.000000     0.306272     5.411872
   10     5.498682     1.000000     0.251291     5.472490
   11     5.268248     1.000000     0.191913     5.268077
   12     4.840579     1.000000     0.144301     4.862152
   13     4.326325     1.000000     0.117599     4.366841
   14     3.861784     1.000000     0.109980     3.891623
   15     3.469749     1.000000     0.111203     3.493443
   16     3.163375     1.000000     0.113471     3.186671
   17     2.935999     1.000000     0.111748     2.948795
   18     2.731066     1.000000     0.103115     2.739335
   19     2.507073     1.000000     0.087150     2.511416
   20     2.228595     1.000000     0.064381     2.229479
   21     1.859977     1.000000     0.035468     1.857009
   22     1.325168     1.000000     0.000374     1.318825
   23     0.395736     1.000000     0.042493     0.432525
   24     1.526133     1.000000     0.094282     1.539901
   25     2.174139     1.000000     0.155716     2.196718
   26     2.730970     1.000000     0.227783     2.751249
   27     3.246450     1.000000     0.312648     3.267395
   28     3.722389     1.000000     0.407349     3.752160
   29     4.196339     1.000000     0.514817     4.217834
   30     4.638401     1.000000     0.637272     4.686877
   31     5.086973     1.000000     0.764703     5.135131
   32     5.548555     1.000000     0.891468     5.546828
   33     5.872535     1.000000     1.037248     5.932719
   34     6.354837     1.000000     1.163285     6.286016
   35     6.440428     1.000000     1.308074     6.613743
   36     7.037654     1.000000     1.432766     6.913995
   37     6.971373     1.000000     1.567785     7.180415
   38     7.640123     1.000000     1.695532     7.475056
   39     7.348157     1.000000     1.758044     7.569517
   40     7.974820     1.000000     1.902254     7.835564
   41     7.774456     1.000000     1.951416     7.919006
   42     8.191786     1.000000     2.090021     8.138433
   43     8.266788     1.000000     2.160635     8.289542
   44     8.272488     1.000000     2.214147     8.345745
   45     8.534664     1.000000     2.311979     8.509341
   46     8.515794     1.000000     2.352996     8.574686
   47     8.638845     1.000000     2.409760     8.656605
   48     8.733859     1.000000     2.465075     8.748389
   49     8.768675     1.000000     2.498101     8.800493
   50     8.838561     1.000000     2.531846     8.856711
   51     8.887137     1.000000     2.559085     8.905670
