   id,    y+,          layer,       ux_1,        yplus_1
    1     1.119731     1.000000     0.065168     1.124495
    2     1.939165     1.000000     0.070179     1.947412
    3     2.502763     1.000000     0.080183     2.513398
    4     2.960089     1.000000     0.095142     2.972651
    5     3.354579     1.000000     0.115003     3.368790
    6     3.706074     1.000000     0.139693     3.721741
    7     4.025597     1.000000     0.169121     4.042570
    8     4.320008     1.000000     0.203180     4.338166
    9     4.593914     1.000000     0.241745     4.613155
   10     4.850578     1.000000     0.284675     4.870813
   11     5.092409     1.000000     0.331810     5.113558
   12     5.321234     1.000000     0.382980     5.343224
   13     5.538485     1.000000     0.437994     5.561248
   14     5.745297     1.000000     0.496650     5.768769
   15     5.942590     1.000000     0.558732     5.966710
   16     6.131118     1.000000     0.624009     6.155828
   17     6.311509     1.000000     0.692239     6.336752
   18     6.484287     1.000000     0.763170     6.510008
   19     6.649898     1.000000     0.836535     6.676042
   20     6.808719     1.000000     0.912063     6.835234
   21     6.961074     1.000000     0.989470     6.987907
   22     7.107243     1.000000     1.068465     7.134342
   23     7.247465     1.000000     1.148752     7.274778
   24     7.381953     1.000000     1.230027     7.409429
   25     7.510888     1.000000     1.311984     7.538474
   26     7.634429     1.000000     1.394310     7.662074
   27     7.752714     1.000000     1.476692     7.780366
   28     7.865865     1.000000     1.558817     7.893472
   29     7.973989     1.000000     1.640368     8.001499
   30     8.077178     1.000000     1.721033     8.104538
   31     8.175512     1.000000     1.800499     8.202668
   32     8.269061     1.000000     1.878458     8.295961
   33     8.357887     1.000000     1.954606     8.384475
   34     8.442042     1.000000     2.028648     8.468265
   35     8.521571     1.000000     2.100290     8.547373
   36     8.596512     1.000000     2.169252     8.621838
   37     8.666898     1.000000     2.235258     8.691692
   38     8.732754     1.000000     2.298046     8.756959
   39     8.794102     1.000000     2.357365     8.817661
   40     8.850958     1.000000     2.412975     8.873815
   41     8.903338     1.000000     2.464651     8.925433
   42     8.951246     1.000000     2.512181     8.972522
