   id,    y+,          layer,       ux_1,        yplus_1
    1     0.953850     1.000000     0.062002     0.956964
    2     1.672768     1.000000     0.070456     1.679205
    3     2.218732     1.000000     0.089467     2.228772
    4     2.741659     1.000000     0.121588     2.754325
    5     3.289051     1.000000     0.165402     3.299782
    6     3.851084     1.000000     0.210964     3.852716
    7     4.365375     1.000000     0.243621     4.355414
    8     4.757261     1.000000     0.255349     4.739175
    9     4.986872     1.000000     0.236944     4.958785
   10     4.977031     1.000000     0.201307     4.963671
   11     4.790398     1.000000     0.171682     4.794044
   12     4.484921     1.000000     0.147117     4.501459
   13     4.125869     1.000000     0.129070     4.145187
   14     3.752491     1.000000     0.117495     3.772022
   15     3.401813     1.000000     0.110113     3.421444
   16     3.088765     1.000000     0.102790     3.106465
   17     2.809001     1.000000     0.092864     2.821804
   18     2.533838     1.000000     0.077807     2.541115
   19     2.225637     1.000000     0.056418     2.227062
   20     1.834694     1.000000     0.028300     1.831251
   21     1.262487     1.000000     0.006764     1.255302
   22     0.624667     1.000000     0.049339     0.646189
   23     1.609335     1.000000     0.099953     1.624612
   24     2.237635     1.000000     0.159430     2.258190
   25     2.774742     1.000000     0.228774     2.795382
   26     3.275738     1.000000     0.309999     3.295537
   27     3.735394     1.000000     0.399686     3.765206
   28     4.188347     1.000000     0.498971     4.206754
   29     4.608378     1.000000     0.612496     4.646872
   30     5.019148     1.000000     0.730851     5.074776
   31     5.431495     1.000000     0.848244     5.456440
   32     5.803187     1.000000     0.973542     5.810028
   33     6.142714     1.000000     1.110526     6.175286
   34     6.457886     1.000000     1.245901     6.500822
   35     6.829554     1.000000     1.373266     6.820511
   36     6.936935     1.000000     1.491720     7.054844
   37     7.402372     1.000000     1.622635     7.337970
   38     7.389060     1.000000     1.713104     7.505245
   39     7.790896     1.000000     1.847976     7.751995
   40     7.846031     1.000000     1.918023     7.893449
   41     8.000050     1.000000     2.032822     8.053918
   42     8.322363     1.000000     2.131930     8.260928
   43     8.109236     1.000000     2.151199     8.253775
   44     8.545220     1.000000     2.279027     8.463766
   45     8.448682     1.000000     2.310766     8.522422
   46     8.579783     1.000000     2.372854     8.600306
   47     8.731716     1.000000     2.445681     8.725424
   48     8.700154     1.000000     2.468524     8.756162
   49     8.815918     1.000000     2.512717     8.824829
   50     8.871693     1.000000     2.549718     8.888160
   51     8.897916     1.000000     2.569016     8.922846
   52     8.946173     1.000000     2.587605     8.960621
   53     8.974141     1.000000     2.599471     8.990257
   54     8.996545     1.000000     2.603503     9.010777
   55     9.012567     1.000000     2.601254     9.024543
   56     9.019948     1.000000     2.592745     9.031666
   57     9.023465     1.000000     2.577621     9.031235
   58     9.016547     1.000000     2.555977     9.023757
   59     9.005544     1.000000     2.528828     9.010306
   60     8.986631     1.000000     2.494811     8.987629
   61     8.957418     1.000000     2.455163     8.959835
   62     8.930815     1.000000     2.410380     8.924476
   63     8.885940     1.000000     2.357943     8.877651
   64     8.832917     1.000000     2.301310     8.827146
   65     8.779144     1.000000     2.240349     8.762515
   66     8.696049     1.000000     2.172741     8.685879
   67     8.601303     1.000000     2.091201     8.601527
   68     8.547249     1.000000     2.023597     8.530405
   69     8.429539     1.000000     1.943979     8.427930
   70     8.338379     1.000000     1.860132     8.337189
   71     8.243144     1.000000     1.779383     8.241942
   72     8.143350     1.000000     1.697899     8.142128
   73     8.038552     1.000000     1.615531     8.037328
   74     7.928467     1.000000     1.532434     7.927250
   75     7.812887     1.000000     1.448864     7.811684
   76     7.691637     1.000000     1.365123     7.690449
   77     7.564542     1.000000     1.281528     7.563373
   78     7.431423     1.000000     1.198404     7.430274
   79     7.292080     1.000000     1.116078     7.290951
   80     7.146288     1.000000     1.034874     7.145182
   81     6.993795     1.000000     0.955117     6.992712
   82     6.834310     1.000000     0.877123     6.833252
   83     6.667499     1.000000     0.801203     6.666467
   84     6.492972     1.000000     0.727658     6.491967
   85     6.310272     1.000000     0.656783     6.309296
   86     6.118861     1.000000     0.588858     6.117914
   87     5.918094     1.000000     0.524155     5.917178
   88     5.707199     1.000000     0.462931     5.706316
   89     5.485232     1.000000     0.405429     5.484383
   90     5.251027     1.000000     0.351880     5.250214
   91     5.003117     1.000000     0.302494     5.002343
   92     4.739623     1.000000     0.257470     4.738890
   93     4.458070     1.000000     0.216986     4.457380
   94     4.155101     1.000000     0.181204     4.154458
   95     3.825971     1.000000     0.150264     3.825379
   96     3.463612     1.000000     0.124291     3.463076
   97     3.056658     1.000000     0.103388     3.056185
   98     2.584641     1.000000     0.087637     2.584241
   99     2.002722     1.000000     0.077102     2.002412
  100     1.156465     1.000000     0.071824     1.156286
  101     1.156465     1.000000     0.071824     1.156286
  102     2.002722     1.000000     0.077102     2.002412
  103     2.584641     1.000000     0.087637     2.584241
  104     3.056658     1.000000     0.103388     3.056185
  105     3.463612     1.000000     0.124291     3.463076
  106     3.825971     1.000000     0.150264     3.825379
  107     4.155101     1.000000     0.181204     4.154458
  108     4.458070     1.000000     0.216986     4.457380
  109     4.739623     1.000000     0.257470     4.738890
  110     5.003117     1.000000     0.302494     5.002343
  111     5.251027     1.000000     0.351880     5.250214
  112     5.485232     1.000000     0.405429     5.484383
  113     5.707199     1.000000     0.462931     5.706316
  114     5.918094     1.000000     0.524155     5.917178
  115     6.118861     1.000000     0.588858     6.117914
  116     6.310272     1.000000     0.656783     6.309296
  117     6.492972     1.000000     0.727658     6.491967
  118     6.667499     1.000000     0.801203     6.666467
  119     6.834310     1.000000     0.877123     6.833252
  120     6.993795     1.000000     0.955117     6.992712
  121     7.146288     1.000000     1.034874     7.145182
  122     7.292080     1.000000     1.116078     7.290951
  123     7.431423     1.000000     1.198404     7.430274
  124     7.564542     1.000000     1.281528     7.563373
  125     7.691637     1.000000     1.365123     7.690449
  126     7.812887     1.000000     1.448864     7.811684
  127     7.928467     1.000000     1.532434     7.927250
  128     8.038552     1.000000     1.615531     8.037328
  129     8.143350     1.000000     1.697899     8.142128
  130     8.243144     1.000000     1.779383     8.241942
  131     8.338379     1.000000     1.860132     8.337189
  132     8.429539     1.000000     1.943979     8.427930
  133     8.547249     1.000000     2.023597     8.530405
  134     8.601303     1.000000     2.091201     8.601527
  135     8.696049     1.000000     2.172741     8.685879
