   id,    y+,          layer,       ux_1,        yplus_1
    1     0.854692     1.000000     0.053033     0.853637
    2     1.487127     1.000000     0.057143     1.485093
    3     1.936174     1.000000     0.065093     1.932956
    4     2.315314     1.000000     0.075972     2.310254
    5     2.650040     1.000000     0.087907     2.642585
    6     2.939539     1.000000     0.098349     2.929874
    7     3.170459     1.000000     0.105011     3.159691
    8     3.326378     1.000000     0.106928     3.316358
    9     3.396882     1.000000     0.104696     3.389638
   10     3.382670     1.000000     0.099516     3.378966
   11     3.292337     1.000000     0.092235     3.292028
   12     3.137936     1.000000     0.083101     3.140341
   13     2.930000     1.000000     0.071748     2.933226
   14     2.671521     1.000000     0.057350     2.673875
   15     2.354858     1.000000     0.038903     2.355038
   16     1.953497     1.000000     0.015968     1.952026
   17     1.403167     1.000000     0.011316     1.401116
   18     0.196205     1.000000     0.043214     0.154450
   19     1.402065     1.000000     0.080526     1.418689
   20     2.029737     1.000000     0.124078     2.044923
   21     2.528776     1.000000     0.173803     2.546223
   22     2.966982     1.000000     0.230165     2.984394
   23     3.376884     1.000000     0.295114     3.395275
   24     3.760300     1.000000     0.366933     3.786834
   25     4.137116     1.000000     0.446126     4.158128
   26     4.498822     1.000000     0.535791     4.523091
   27     4.851193     1.000000     0.634445     4.889312
   28     5.185670     1.000000     0.737574     5.239809
   29     5.562767     1.000000     0.836779     5.565887
   30     5.821213     1.000000     0.949533     5.874463
   31     6.176537     1.000000     1.063465     6.159931
   32     6.438871     1.000000     1.175411     6.465370
   33     6.614092     1.000000     1.299580     6.708831
   34     7.074475     1.000000     1.408912     6.987113
   35     6.982150     1.000000     1.504297     7.157789
   36     7.538348     1.000000     1.631324     7.414786
   37     7.419000     1.000000     1.707938     7.558373
   38     7.831826     1.000000     1.829944     7.764460
   39     7.825488     1.000000     1.904970     7.907823
   40     8.051464     1.000000     2.003779     8.049230
   41     8.170406     1.000000     2.095719     8.211455
   42     8.288619     1.000000     2.160802     8.308203
   43     8.360497     1.000000     2.236651     8.413476
   44     8.559390     1.000000     2.315372     8.543426
   45     8.533092     1.000000     2.358982     8.601905
   46     8.713024     1.000000     2.428351     8.705674
   47     8.727058     1.000000     2.466454     8.764339
   48     8.790811     1.000000     2.506482     8.820045
   49     8.908105     1.000000     2.555492     8.901771
   50     8.853335     1.000000     2.561283     8.908343
   51     8.981282     1.000000     2.598056     8.973557
   52     8.989790     1.000000     2.615759     9.007749
   53     8.986113     1.000000     2.612949     9.013606
   54     9.043118     1.000000     2.623377     9.045953
   55     9.040011     1.000000     2.619225     9.054230
   56     9.043914     1.000000     2.606833     9.056120
   57     9.049821     1.000000     2.591711     9.055847
   58     9.038992     1.000000     2.568900     9.046042
   59     9.026433     1.000000     2.540530     9.030914
   60     9.006413     1.000000     2.505599     9.006731
   61     8.975343     1.000000     2.464915     8.977263
   62     8.947679     1.000000     2.419380     8.940896
   63     8.901748     1.000000     2.366166     8.892850
   64     8.847393     1.000000     2.308827     8.841268
   65     8.792705     1.000000     2.247228     8.775577
   66     8.708351     1.000000     2.178922     8.697734
   67     8.612088     1.000000     2.096583     8.612421
   68     8.557976     1.000000     2.028615     8.540846
   69     8.439082     1.000000     1.948505     8.437452
   70     8.347380     1.000000     1.864179     8.346194
   71     8.251664     1.000000     1.783070     8.250465
   72     8.151437     1.000000     1.701266     8.150217
   73     8.046243     1.000000     1.618606     8.045021
   74     7.935791     1.000000     1.535239     7.934576
   75     7.819870     1.000000     1.451419     7.818668
   76     7.698299     1.000000     1.367446     7.697113
   77     7.570904     1.000000     1.283634     7.569735
   78     7.437499     1.000000     1.200307     7.436350
   79     7.297885     1.000000     1.117792     7.296757
   80     7.151835     1.000000     1.036412     7.150730
   81     6.999096     1.000000     0.956491     6.998014
   82     6.839376     1.000000     0.878343     6.838318
   83     6.672338     1.000000     0.802281     6.671306
   84     6.497592     1.000000     0.728604     6.496587
   85     6.314680     1.000000     0.657606     6.313703
   86     6.123061     1.000000     0.589568     6.122114
   87     5.922092     1.000000     0.524761     5.921176
   88     5.710997     1.000000     0.463441     5.710114
   89     5.488833     1.000000     0.405853     5.487984
   90     5.254432     1.000000     0.352224     5.253619
   91     5.006324     1.000000     0.302768     5.005550
   92     4.742631     1.000000     0.257680     4.741897
   93     4.460873     1.000000     0.217140     4.460183
   94     4.157693     1.000000     0.181309     4.157050
   95     3.828342     1.000000     0.150328     3.827750
   96     3.465746     1.000000     0.124320     3.465210
   97     3.058534     1.000000     0.103390     3.058061
   98     2.586221     1.000000     0.087619     2.585821
   99     2.003944     1.000000     0.077070     2.003634
  100     1.157170     1.000000     0.071785     1.156991
  101     1.157170     1.000000     0.071785     1.156991
  102     2.003944     1.000000     0.077070     2.003634
  103     2.586221     1.000000     0.087619     2.585821
  104     3.058534     1.000000     0.103390     3.058061
  105     3.465746     1.000000     0.124320     3.465210
  106     3.828342     1.000000     0.150328     3.827750
  107     4.157693     1.000000     0.181309     4.157050
  108     4.460873     1.000000     0.217140     4.460183
  109     4.742631     1.000000     0.257680     4.741897
  110     5.006324     1.000000     0.302768     5.005550
  111     5.254432     1.000000     0.352224     5.253619
  112     5.488833     1.000000     0.405853     5.487984
  113     5.710997     1.000000     0.463441     5.710114
  114     5.922092     1.000000     0.524761     5.921176
  115     6.123061     1.000000     0.589568     6.122114
  116     6.314680     1.000000     0.657606     6.313703
  117     6.497592     1.000000     0.728604     6.496587
  118     6.672338     1.000000     0.802281     6.671306
  119     6.839376     1.000000     0.878343     6.838318
  120     6.999096     1.000000     0.956491     6.998014
  121     7.151835     1.000000     1.036412     7.150730
  122     7.297885     1.000000     1.117792     7.296757
  123     7.437499     1.000000     1.200307     7.436350
  124     7.570904     1.000000     1.283634     7.569735
  125     7.698299     1.000000     1.367446     7.697113
  126     7.819870     1.000000     1.451419     7.818668
  127     7.935791     1.000000     1.535239     7.934576
  128     8.046243     1.000000     1.618606     8.045021
  129     8.151437     1.000000     1.701266     8.150217
  130     8.251664     1.000000     1.783070     8.250465
  131     8.347380     1.000000     1.864179     8.346194
  132     8.439082     1.000000     1.948505     8.437452
  133     8.557976     1.000000     2.028615     8.540846
  134     8.612088     1.000000     2.096583     8.612421
  135     8.708351     1.000000     2.178922     8.697734
  136     8.792705     1.000000     2.247228     8.775577
  137     8.847393     1.000000     2.308827     8.841268
  138     8.901748     1.000000     2.366166     8.892850
  139     8.947679     1.000000     2.419380     8.940896
  140     8.975343     1.000000     2.464915     8.977263
  141     9.006413     1.000000     2.505599     9.006731
  142     9.026433     1.000000     2.540530     9.030914
  143     9.038992     1.000000     2.568900     9.046042
  144     9.049821     1.000000     2.591711     9.055847
  145     9.043914     1.000000     2.606833     9.056120
  146     9.040011     1.000000     2.619225     9.054230
  147     9.043118     1.000000     2.623377     9.045953
  148     8.986113     1.000000     2.612949     9.013606
  149     8.989790     1.000000     2.615759     9.007749
  150     8.981282     1.000000     2.598056     8.973557
  151     8.853335     1.000000     2.561283     8.908343
  152     8.908105     1.000000     2.555492     8.901771
  153     8.790811     1.000000     2.506482     8.820045
  154     8.727058     1.000000     2.466454     8.764339
  155     8.713024     1.000000     2.428351     8.705674
  156     8.533092     1.000000     2.358982     8.601905
  157     8.559390     1.000000     2.315372     8.543426
  158     8.360497     1.000000     2.236651     8.413476
  159     8.288619     1.000000     2.160802     8.308203
  160     8.170406     1.000000     2.095719     8.211455
  161     8.051464     1.000000     2.003779     8.049230
  162     7.825488     1.000000     1.904970     7.907823
  163     7.831826     1.000000     1.829944     7.764460
  164     7.419000     1.000000     1.707938     7.558373
