   id,    y+,          layer,       ux_1,        yplus_1
    1     1.057436     1.000000     0.057297     1.057072
    2     1.830606     1.000000     0.062083     1.833546
    3     2.359856     1.000000     0.071175     2.369129
    4     2.791477     1.000000     0.084487     2.803849
    5     3.162925     1.000000     0.102008     3.178207
    6     3.498378     1.000000     0.124231     3.510237
    7     3.802219     1.000000     0.151173     3.815865
    8     4.081362     1.000000     0.181435     4.098270
    9     4.337684     1.000000     0.215490     4.358052
   10     4.582571     1.000000     0.254723     4.603166
   11     4.817263     1.000000     0.297236     4.836289
   12     5.037338     1.000000     0.343723     5.054637
   13     5.245313     1.000000     0.394612     5.267082
   14     5.440284     1.000000     0.447788     5.469400
   15     5.630129     1.000000     0.504142     5.661932
   16     5.818698     1.000000     0.563333     5.845863
   17     5.997889     1.000000     0.625180     6.021651
   18     6.169421     1.000000     0.689136     6.187717
   19     6.331481     1.000000     0.757587     6.347939
   20     6.488536     1.000000     0.829784     6.508927
   21     6.639990     1.000000     0.903134     6.664890
   22     6.783094     1.000000     0.977144     6.813688
   23     6.927530     1.000000     1.052495     6.956085
   24     7.064282     1.000000     1.128951     7.092700
   25     7.194242     1.000000     1.206426     7.223809
   26     7.324283     1.000000     1.284996     7.349199
   27     7.447491     1.000000     1.365325     7.473532
   28     7.565565     1.000000     1.444757     7.592645
   29     7.678755     1.000000     1.523919     7.706429
   30     7.787545     1.000000     1.602685     7.815661
   31     7.891539     1.000000     1.680355     7.919909
   32     7.993210     1.000000     1.757439     8.019135
   33     8.090662     1.000000     1.834423     8.116878
   34     8.183491     1.000000     1.908994     8.209325
   35     8.271407     1.000000     1.981411     8.297096
   36     8.355150     1.000000     2.051680     8.380468
   37     8.434665     1.000000     2.119409     8.459233
   38     8.509971     1.000000     2.185053     8.534760
   39     8.581081     1.000000     2.247424     8.605827
   40     8.647998     1.000000     2.306450     8.672351
   41     8.710731     1.000000     2.361969     8.734499
   42     8.769318     1.000000     2.413755     8.792309
   43     8.823790     1.000000     2.461584     8.845714
   44     8.873670     1.000000     2.505221     8.894704
   45     8.918942     1.000000     2.544430     8.939217
   46     8.959852     1.000000     2.579069     8.979243
   47     8.996304     1.000000     2.608968     9.014743
   48     9.028247     1.000000     2.633975     9.045674
   49     9.055634     1.000000     2.653956     9.071989
   50     9.078419     1.000000     2.668800     9.093637
   51     9.096551     1.000000     2.678413     9.110569
   52     9.109982     1.000000     2.682726     9.122730
   53     9.118657     1.000000     2.681689     9.130067
   54     9.122520     1.000000     2.675275     9.132525
   55     9.121510     1.000000     2.663479     9.130045
   56     9.115467     1.000000     2.646316     9.122560
   57     9.104423     1.000000     2.623814     9.109991
   58     9.088426     1.000000     2.596013     9.092231
   59     9.067345     1.000000     2.562954     9.069083
   60     9.041047     1.000000     2.524914     9.040721
   61     9.009350     1.000000     2.481984     9.006984
   62     8.971958     1.000000     2.434273     8.967656
   63     8.928201     1.000000     2.381546     8.921478
   64     8.873743     1.000000     2.322410     8.865696
   65     8.810335     1.000000     2.256798     8.796154
   66     8.730016     1.000000     2.188358     8.715217
   67     8.622431     1.000000     2.107262     8.621038
   68     8.539122     1.000000     2.026747     8.537950
   69     8.452427     1.000000     1.948646     8.451217
   70     8.361619     1.000000     1.869400     8.360377
   71     8.266160     1.000000     1.788764     8.264909
   72     8.165730     1.000000     1.706842     8.164482
   73     8.060120     1.000000     1.623862     8.058883
   74     7.949165     1.000000     1.540106     7.947941
   75     7.832711     1.000000     1.455881     7.831502
   76     7.710604     1.000000     1.371506     7.709413
   77     7.582682     1.000000     1.287307     7.581510
   78     7.448767     1.000000     1.203613     7.447616
   79     7.308661     1.000000     1.120749     7.307531
   80     7.162138     1.000000     1.039043     7.161030
   81     7.008943     1.000000     0.958814     7.007859
