   id,    y+,          layer,       ux_1,        yplus_1
    1     0.699305     1.000000     0.038428     0.698484
    2     1.211668     1.000000     0.040337     1.210192
    3     1.564802     1.000000     0.043960     1.562692
    4     1.850164     1.000000     0.048799     1.847186
    5     2.089611     1.000000     0.053988     2.085488
    6     2.286313     1.000000     0.058432     2.281009
    7     2.435314     1.000000     0.061109     2.429131
    8     2.528728     1.000000     0.061284     2.522184
    9     2.558918     1.000000     0.058627     2.552738
   10     2.521561     1.000000     0.053153     2.516073
   11     2.414915     1.000000     0.044965     2.410122
   12     2.237179     1.000000     0.034084     2.232938
   13     1.983273     1.000000     0.020335     1.978766
   14     1.632038     1.000000     0.003214     1.626608
   15     1.109096     1.000000     0.017939     1.099323
   16     0.589983     1.000000     0.043876     0.618243
   17     1.442479     1.000000     0.075205     1.460327
   18     1.992912     1.000000     0.111666     2.008912
   19     2.452935     1.000000     0.154508     2.471458
   20     2.871267     1.000000     0.202917     2.887843
   21     3.253504     1.000000     0.257306     3.269804
   22     3.612466     1.000000     0.318368     3.632727
   23     3.951509     1.000000     0.384982     3.977108
   24     4.289891     1.000000     0.458757     4.310103
   25     4.614198     1.000000     0.541074     4.637313
   26     4.930177     1.000000     0.631055     4.964986
   27     5.233494     1.000000     0.724880     5.281640
   28     5.554344     1.000000     0.820627     5.581298
   29     5.843185     1.000000     0.921919     5.861739
   30     6.134998     1.000000     1.028545     6.142942
   31     6.361335     1.000000     1.143060     6.416143
   32     6.667883     1.000000     1.242217     6.653004
   33     6.808543     1.000000     1.360539     6.905792
   34     7.150245     1.000000     1.451669     7.101087
   35     7.186163     1.000000     1.573222     7.318813
   36     7.625322     1.000000     1.667193     7.524848
   37     7.473801     1.000000     1.760913     7.656371
   38     8.014979     1.000000     1.867247     7.870257
   39     7.739344     1.000000     1.914600     7.920333
   40     8.254186     1.000000     2.044170     8.139524
   41     8.033415     1.000000     2.079320     8.183858
   42     8.425515     1.000000     2.197572     8.359359
   43     8.421815     1.000000     2.258991     8.474533
   44     8.522056     1.000000     2.316461     8.545205
   45     8.601965     1.000000     2.379782     8.636786
   46     8.714053     1.000000     2.437273     8.724531
   47     8.744103     1.000000     2.477487     8.782205
   48     8.832493     1.000000     2.520673     8.846297
   49     8.881621     1.000000     2.555725     8.901870
   50     8.912652     1.000000     2.579339     8.939522
   51     8.983264     1.000000     2.606997     8.988456
   52     8.965461     1.000000     2.610454     8.999846
   53     9.046871     1.000000     2.630460     9.044215
   54     9.032374     1.000000     2.629368     9.053234
   55     9.039531     1.000000     2.618103     9.054771
   56     9.070897     1.000000     2.616314     9.072675
   57     9.049561     1.000000     2.596285     9.061752
   58     9.045045     1.000000     2.571333     9.051405
   59     9.035398     1.000000     2.544791     9.038557
   60     9.012139     1.000000     2.509178     9.012696
   61     8.980996     1.000000     2.467928     8.982740
   62     8.953053     1.000000     2.422230     8.946119
   63     8.906779     1.000000     2.368776     8.897680
   64     8.851998     1.000000     2.311210     8.845755
   65     8.797012     1.000000     2.249407     8.779721
   66     8.712249     1.000000     2.180876     8.701490
   67     8.615503     1.000000     2.098280     8.615869
   68     8.561372     1.000000     2.030195     8.544150
   69     8.442099     1.000000     1.949928     8.440461
   70     8.350225     1.000000     1.865450     8.349040
   71     8.254356     1.000000     1.784226     8.253157
   72     8.153992     1.000000     1.702320     8.152772
   73     8.048673     1.000000     1.619567     8.047450
   74     7.938105     1.000000     1.536115     7.936890
   75     7.822075     1.000000     1.452216     7.820873
   76     7.700403     1.000000     1.368169     7.699217
   77     7.572912     1.000000     1.284288     7.571743
   78     7.439417     1.000000     1.200897     7.438268
   79     7.299717     1.000000     1.118322     7.298589
   80     7.153586     1.000000     1.036887     7.152481
   81     7.000769     1.000000     0.956913     6.999687
   82     6.840974     1.000000     0.878717     6.839917
