   id,    y+,          layer,       ux_1,        yplus_1
    1     0.881364     1.000000     0.055386     0.880300
    2     1.529582     1.000000     0.059829     1.530293
    3     1.995400     1.000000     0.069033     1.996065
    4     2.393560     1.000000     0.081817     2.393279
    5     2.750721     1.000000     0.096321     2.748440
    6     3.065716     1.000000     0.110364     3.060505
    7     3.331077     1.000000     0.118412     3.318553
    8     3.502717     1.000000     0.119042     3.491205
    9     3.581109     1.000000     0.116209     3.573023
   10     3.568231     1.000000     0.110517     3.564469
   11     3.475543     1.000000     0.103018     3.476115
   12     3.318827     1.000000     0.093901     3.322021
   13     3.108999     1.000000     0.082739     3.113873
   14     2.853041     1.000000     0.068664     2.857521
   15     2.546064     1.000000     0.050640     2.548337
   16     2.168726     1.000000     0.028494     2.169253
   17     1.684376     1.000000     0.002591     1.684182
   18     0.956575     1.000000     0.027708     0.953176
   19     1.032555     1.000000     0.063528     1.048277
   20     1.784364     1.000000     0.105668     1.798230
   21     2.328696     1.000000     0.154175     2.346156
   22     2.792442     1.000000     0.209027     2.810876
   23     3.221302     1.000000     0.272783     3.239027
   24     3.624717     1.000000     0.344562     3.647728
   25     4.007522     1.000000     0.423246     4.032376
   26     4.384709     1.000000     0.512226     4.407764
   27     4.749734     1.000000     0.610913     4.782279
   28     5.100421     1.000000     0.713060     5.149369
   29     5.437696     1.000000     0.818343     5.484906
   30     5.796023     1.000000     0.927222     5.789944
   31     6.112239     1.000000     1.033623     6.103473
   32     6.260920     1.000000     1.166153     6.391962
   33     6.774660     1.000000     1.270011     6.667346
   34     6.729393     1.000000     1.392856     6.919377
   35     7.301866     1.000000     1.509381     7.171493
   36     7.175331     1.000000     1.603585     7.351984
   37     7.681059     1.000000     1.724050     7.583374
   38     7.579190     1.000000     1.796558     7.707412
   39     7.946534     1.000000     1.917945     7.910608
   40     7.971420     1.000000     1.988985     8.039223
   41     8.148439     1.000000     2.082966     8.173316
   42     8.312943     1.000000     2.170101     8.322934
   43     8.368289     1.000000     2.230376     8.411990
   44     8.485874     1.000000     2.304316     8.515809
   45     8.622178     1.000000     2.368934     8.622240
   46     8.602322     1.000000     2.408180     8.669651
   47     8.811020     1.000000     2.479259     8.784193
   48     8.743416     1.000000     2.496901     8.806805
   49     8.876888     1.000000     2.542913     8.877409
   50     8.935500     1.000000     2.580974     8.942861
   51     8.900006     1.000000     2.582439     8.946103
   52     9.004390     1.000000     2.610152     9.000203
   53     9.006806     1.000000     2.620722     9.025570
   54     9.016197     1.000000     2.617322     9.034634
   55     9.044951     1.000000     2.616976     9.052157
   56     9.043767     1.000000     2.607185     9.055991
   57     9.045247     1.000000     2.590060     9.052778
   58     9.037629     1.000000     2.567660     9.044185
   59     9.024703     1.000000     2.539608     9.029222
   60     9.004676     1.000000     2.504672     9.005077
   61     8.973817     1.000000     2.464081     8.975777
   62     8.946231     1.000000     2.418610     8.939488
   63     8.900391     1.000000     2.365461     8.891545
   64     8.846150     1.000000     2.308182     8.840056
   65     8.791540     1.000000     2.246638     8.774456
   66     8.707296     1.000000     2.178393     8.696717
   67     8.611163     1.000000     2.096123     8.611486
   68     8.557055     1.000000     2.028185     8.539950
   69     8.438263     1.000000     1.948118     8.436635
   70     8.346608     1.000000     1.863834     8.345422
   71     8.250933     1.000000     1.782755     8.249733
   72     8.150743     1.000000     1.700978     8.149523
   73     8.045584     1.000000     1.618344     8.044361
   74     7.935163     1.000000     1.535000     7.933948
   75     7.819271     1.000000     1.451202     7.818069
   76     7.697728     1.000000     1.367248     7.696541
   77     7.570358     1.000000     1.283455     7.569189
   78     7.436978     1.000000     1.200146     7.435829
   79     7.297387     1.000000     1.117646     7.296259
   80     7.151360     1.000000     1.036282     7.150254
   81     6.998641     1.000000     0.956375     6.997559
   82     6.838941     1.000000     0.878241     6.837883
   83     6.671923     1.000000     0.802190     6.670891
   84     6.497196     1.000000     0.728525     6.496191
   85     6.314301     1.000000     0.657537     6.313325
   86     6.122701     1.000000     0.589509     6.121754
   87     5.921749     1.000000     0.524711     5.920833
   88     5.710671     1.000000     0.463399     5.709788
   89     5.488524     1.000000     0.405818     5.487675
   90     5.254139     1.000000     0.352197     5.253327
   91     5.006049     1.000000     0.302746     5.005275
   92     4.742373     1.000000     0.257664     4.741639
   93     4.460633     1.000000     0.217129     4.459943
   94     4.157471     1.000000     0.181302     4.156828
   95     3.828139     1.000000     0.150325     3.827546
   96     3.465563     1.000000     0.124320     3.465027
   97     3.058373     1.000000     0.103392     3.057900
   98     2.586085     1.000000     0.087622     2.585686
   99     2.003839     1.000000     0.077074     2.003529
  100     1.157109     1.000000     0.071790     1.156930
  101     1.157109     1.000000     0.071790     1.156930
  102     2.003839     1.000000     0.077074     2.003529
  103     2.586085     1.000000     0.087622     2.585686
  104     3.058373     1.000000     0.103392     3.057900
  105     3.465563     1.000000     0.124320     3.465027
  106     3.828139     1.000000     0.150325     3.827546
  107     4.157471     1.000000     0.181302     4.156828
  108     4.460633     1.000000     0.217129     4.459943
  109     4.742373     1.000000     0.257664     4.741639
  110     5.006049     1.000000     0.302746     5.005275
  111     5.254139     1.000000     0.352197     5.253327
  112     5.488524     1.000000     0.405818     5.487675
  113     5.710671     1.000000     0.463399     5.709788
  114     5.921749     1.000000     0.524711     5.920833
  115     6.122701     1.000000     0.589509     6.121754
  116     6.314301     1.000000     0.657537     6.313325
  117     6.497196     1.000000     0.728525     6.496191
  118     6.671923     1.000000     0.802190     6.670891
  119     6.838941     1.000000     0.878241     6.837883
  120     6.998641     1.000000     0.956375     6.997559
  121     7.151360     1.000000     1.036282     7.150254
  122     7.297387     1.000000     1.117646     7.296259
  123     7.436978     1.000000     1.200146     7.435829
  124     7.570358     1.000000     1.283455     7.569189
  125     7.697728     1.000000     1.367248     7.696541
  126     7.819271     1.000000     1.451202     7.818069
  127     7.935163     1.000000     1.535000     7.933948
  128     8.045584     1.000000     1.618344     8.044361
  129     8.150743     1.000000     1.700978     8.149523
  130     8.250933     1.000000     1.782755     8.249733
  131     8.346608     1.000000     1.863834     8.345422
  132     8.438263     1.000000     1.948118     8.436635
  133     8.557055     1.000000     2.028185     8.539950
  134     8.611163     1.000000     2.096123     8.611486
  135     8.707296     1.000000     2.178393     8.696717
  136     8.791540     1.000000     2.246638     8.774456
  137     8.846150     1.000000     2.308182     8.840056
  138     8.900391     1.000000     2.365461     8.891545
  139     8.946231     1.000000     2.418610     8.939488
  140     8.973817     1.000000     2.464081     8.975777
  141     9.004676     1.000000     2.504672     9.005077
  142     9.024703     1.000000     2.539608     9.029222
  143     9.037629     1.000000     2.567660     9.044185
  144     9.045247     1.000000     2.590060     9.052778
  145     9.043767     1.000000     2.607185     9.055991
  146     9.044951     1.000000     2.616976     9.052157
  147     9.016197     1.000000     2.617322     9.034634
  148     9.006806     1.000000     2.620722     9.025570
  149     9.004390     1.000000     2.610152     9.000203
  150     8.900006     1.000000     2.582439     8.946103
  151     8.935500     1.000000     2.580974     8.942861
  152     8.876888     1.000000     2.542913     8.877409
  153     8.743416     1.000000     2.496901     8.806805
  154     8.811020     1.000000     2.479259     8.784193
  155     8.602322     1.000000     2.408180     8.669651
  156     8.622178     1.000000     2.368934     8.622240
  157     8.485874     1.000000     2.304316     8.515809
  158     8.368289     1.000000     2.230376     8.411990
  159     8.312943     1.000000     2.170101     8.322934
  160     8.148439     1.000000     2.082966     8.173316
  161     7.971420     1.000000     1.988985     8.039223
  162     7.946534     1.000000     1.917945     7.910608
  163     7.579190     1.000000     1.796558     7.707412
  164     7.681059     1.000000     1.724050     7.583374
  165     7.175331     1.000000     1.603585     7.351984
  166     7.301866     1.000000     1.509381     7.171493
  167     6.729393     1.000000     1.392856     6.919377
  168     6.774660     1.000000     1.270011     6.667346
  169     6.260920     1.000000     1.166153     6.391962
  170     6.112239     1.000000     1.033623     6.103473
  171     5.796023     1.000000     0.927222     5.789944
  172     5.437696     1.000000     0.818343     5.484906
  173     5.100421     1.000000     0.713060     5.149369
  174     4.749734     1.000000     0.610913     4.782279
  175     4.384709     1.000000     0.512226     4.407764
  176     4.007522     1.000000     0.423246     4.032376
  177     3.624717     1.000000     0.344562     3.647728
  178     3.221302     1.000000     0.272783     3.239027
