   id,    y+,          layer,       ux_1,        yplus_1
    1     0.532258     1.000000     0.025927     0.531114
    2     0.919280     1.000000     0.026648     0.917276
    3     1.179671     1.000000     0.027974     1.176998
    4     1.381840     1.000000     0.029633     1.378422
    5     1.542155     1.000000     0.031159     1.537770
    6     1.663146     1.000000     0.031913     1.657389
    7     1.740308     1.000000     0.031307     1.733671
    8     1.767858     1.000000     0.028827     1.760131
    9     1.736370     1.000000     0.024004     1.727678
   10     1.634169     1.000000     0.016535     1.624498
   11     1.443034     1.000000     0.006184     1.430866
   12     1.120053     1.000000     0.007188     1.105133
   13     0.469058     1.000000     0.023806     0.428946
   14     0.999570     1.000000     0.044071     1.021974
   15     1.545995     1.000000     0.068307     1.563132
   16     1.981930     1.000000     0.096869     1.998801
   17     2.371066     1.000000     0.130559     2.385154
   18     2.730918     1.000000     0.170047     2.747758
   19     3.070872     1.000000     0.214869     3.091317
   20     3.415002     1.000000     0.266827     3.430913
   21     3.740752     1.000000     0.323996     3.761150
   22     4.047882     1.000000     0.385671     4.072290
   23     4.355733     1.000000     0.454054     4.376086
   24     4.652025     1.000000     0.529454     4.674229
   25     4.943568     1.000000     0.612314     4.973991
   26     5.218856     1.000000     0.699009     5.266218
   27     5.515166     1.000000     0.789370     5.547578
   28     5.792900     1.000000     0.881437     5.811461
   29     6.051720     1.000000     0.980954     6.067965
   30     6.304096     1.000000     1.085350     6.326008
   31     6.536090     1.000000     1.193754     6.577493
   32     6.783851     1.000000     1.293089     6.799616
   33     6.963689     1.000000     1.399673     7.018187
   34     7.216169     1.000000     1.496277     7.214836
   35     7.331142     1.000000     1.608597     7.414399
   36     7.646162     1.000000     1.696171     7.593304
   37     7.573431     1.000000     1.791818     7.724957
   38     8.081162     1.000000     1.903066     7.953954
   39     7.814315     1.000000     1.946098     7.987329
   40     8.288868     1.000000     2.071700     8.187083
   41     8.119889     1.000000     2.106181     8.243739
   42     8.415491     1.000000     2.216584     8.391302
   43     8.532572     1.000000     2.286820     8.531775
   44     8.453202     1.000000     2.313864     8.541185
   45     8.699329     1.000000     2.399203     8.670373
   46     8.673809     1.000000     2.438188     8.729012
   47     8.800223     1.000000     2.489844     8.802990
   48     8.817616     1.000000     2.525588     8.855765
   49     8.912067     1.000000     2.564012     8.915971
   50     8.913601     1.000000     2.584636     8.948856
   51     8.987563     1.000000     2.609694     8.993286
   52     8.996413     1.000000     2.622389     9.019954
   53     9.030472     1.000000     2.630074     9.043069
   54     9.048526     1.000000     2.633032     9.060823
   55     9.046675     1.000000     2.623291     9.063228
   56     9.080305     1.000000     2.621421     9.080729
   57     9.047445     1.000000     2.597280     9.063376
   58     9.051471     1.000000     2.572902     9.055653
   59     9.046100     1.000000     2.549828     9.046606
   60     9.011953     1.000000     2.511122     9.015243
   61     8.985302     1.000000     2.469413     8.986215
   62     8.957163     1.000000     2.424328     8.949936
   63     8.910281     1.000000     2.370646     8.901036
   64     8.855127     1.000000     2.312853     8.848824
   65     8.799948     1.000000     2.250893     8.782554
   66     8.714908     1.000000     2.182206     8.704052
   67     8.617828     1.000000     2.099433     8.618217
   68     8.563689     1.000000     2.031270     8.546401
