   id,    y+,          layer,       ux_1,        yplus_1
    1     0.612687     1.000000     0.013323     0.614386
    2     1.063313     1.000000     0.015200     1.066813
    3     1.378276     1.000000     0.018931     1.383381
    4     1.640321     1.000000     0.024551     1.647020
    5     1.873443     1.000000     0.032141     1.882296
    6     2.090722     1.000000     0.041794     2.100631
    7     2.297033     1.000000     0.053653     2.308338
    8     2.498115     1.000000     0.067878     2.509554
    9     2.695623     1.000000     0.084805     2.706898
   10     2.892058     1.000000     0.104725     2.904572
   11     3.088385     1.000000     0.127329     3.102461
   12     3.284994     1.000000     0.153108     3.299970
   13     3.483396     1.000000     0.182561     3.500061
   14     3.685546     1.000000     0.215075     3.701757
   15     3.886894     1.000000     0.251148     3.902364
   16     4.087744     1.000000     0.291654     4.105669
   17     4.290932     1.000000     0.335984     4.310352
   18     4.492059     1.000000     0.384618     4.516723
   19     4.700689     1.000000     0.435817     4.720009
   20     4.903946     1.000000     0.492304     4.920957
   21     5.106822     1.000000     0.554848     5.129216
   22     5.302265     1.000000     0.620070     5.337468
   23     5.504613     1.000000     0.688407     5.541489
   24     5.713728     1.000000     0.758805     5.738721
   25     5.912711     1.000000     0.833088     5.930507
   26     6.105259     1.000000     0.913113     6.123560
   27     6.291651     1.000000     0.997037     6.318160
   28     6.481551     1.000000     1.082008     6.507269
   29     6.662540     1.000000     1.169433     6.691142
   30     6.844487     1.000000     1.258903     6.871187
   31     7.009878     1.000000     1.348181     7.045457
   32     7.178316     1.000000     1.438264     7.210455
   33     7.343912     1.000000     1.529756     7.373193
   34     7.498723     1.000000     1.618628     7.526305
   35     7.643102     1.000000     1.707020     7.671662
   36     7.780665     1.000000     1.794410     7.811410
   37     7.915165     1.000000     1.880006     7.944109
   38     8.038507     1.000000     1.963245     8.070743
   39     8.157389     1.000000     2.042922     8.188310
   40     8.271194     1.000000     2.118241     8.297829
   41     8.369444     1.000000     2.188622     8.396958
   42     8.468052     1.000000     2.257471     8.493632
   43     8.548700     1.000000     2.316910     8.575297
   44     8.625666     1.000000     2.376308     8.655550
   45     8.725133     1.000000     2.431360     8.736014
   46     8.734854     1.000000     2.467187     8.779002
   47     8.853521     1.000000     2.521589     8.858580
   48     8.887432     1.000000     2.554191     8.908176
   49     8.891489     1.000000     2.573506     8.931886
   50     9.012047     1.000000     2.614699     9.000714
   51     8.971036     1.000000     2.620632     9.011733
   52     9.041493     1.000000     2.637006     9.045850
   53     9.053040     1.000000     2.645899     9.069106
   54     9.059039     1.000000     2.641265     9.075600
   55     9.083727     1.000000     2.639240     9.089686
   56     9.071237     1.000000     2.624369     9.085935
   57     9.085578     1.000000     2.610218     9.087248
   58     9.055668     1.000000     2.581230     9.067235
   59     9.056088     1.000000     2.553428     9.054528
   60     9.025297     1.000000     2.517663     9.028085
   61     9.003971     1.000000     2.477835     8.999305
   62     8.957134     1.000000     2.429053     8.956891
   63     8.915678     1.000000     2.373931     8.908922
   64     8.868244     1.000000     2.318121     8.858353
   65     8.802598     1.000000     2.253127     8.788264
   66     8.723147     1.000000     2.184453     8.708563
   67     8.618047     1.000000     2.099432     8.616189
   68     8.569006     1.000000     2.033070     8.551279
   69     8.449063     1.000000     1.953048     8.447362
   70     8.357004     1.000000     1.868378     8.355810
   71     8.260881     1.000000     1.786960     8.259678
   72     8.160243     1.000000     1.704847     8.159022
   73     8.054652     1.000000     1.621888     8.053428
   74     7.943819     1.000000     1.538237     7.942603
