   id,    y+,          layer,       ux_1,        yplus_1
    1     0.865423     1.000000     0.035308     0.865799
    2     1.498964     1.000000     0.038609     1.501945
    3     1.934894     1.000000     0.044992     1.942085
    4     2.291819     1.000000     0.054456     2.301687
    5     2.603162     1.000000     0.066894     2.613854
    6     2.883516     1.000000     0.082700     2.893982
    7     3.140688     1.000000     0.101876     3.153759
    8     3.382268     1.000000     0.123971     3.395425
    9     3.608749     1.000000     0.149642     3.625016
   10     3.828916     1.000000     0.178108     3.844274
   11     4.037716     1.000000     0.209782     4.052111
   12     4.237105     1.000000     0.245413     4.254286
   13     4.434109     1.000000     0.284614     4.452353
   14     4.622422     1.000000     0.326852     4.646212
   15     4.813500     1.000000     0.371389     4.832289
   16     4.996949     1.000000     0.419976     5.012862
   17     5.175522     1.000000     0.473423     5.195158
   18     5.348752     1.000000     0.529462     5.376275
   19     5.517657     1.000000     0.587885     5.552480
   20     5.695847     1.000000     0.648930     5.724590
   21     5.868144     1.000000     0.711610     5.890268
   22     6.033062     1.000000     0.777853     6.051132
   23     6.194410     1.000000     0.848433     6.212192
   24     6.349204     1.000000     0.922451     6.374110
   25     6.507299     1.000000     0.997560     6.532350
   26     6.659917     1.000000     1.073839     6.687461
   27     6.808838     1.000000     1.151766     6.835632
   28     6.957150     1.000000     1.232702     6.983791
   29     7.095742     1.000000     1.312934     7.127406
   30     7.232965     1.000000     1.394026     7.264139
   31     7.373291     1.000000     1.477004     7.400550
   32     7.502855     1.000000     1.558854     7.531490
   33     7.631655     1.000000     1.639886     7.656770
   34     7.749408     1.000000     1.720535     7.777385
   35     7.866550     1.000000     1.800843     7.894491
   36     7.980306     1.000000     1.880000     8.007896
   37     8.085162     1.000000     1.956990     8.115829
   38     8.191025     1.000000     2.031433     8.218629
   39     8.286636     1.000000     2.102445     8.314526
   40     8.380408     1.000000     2.170786     8.405613
   41     8.464369     1.000000     2.235587     8.490485
   42     8.545188     1.000000     2.296511     8.570365
   43     8.616845     1.000000     2.352039     8.642367
   44     8.686692     1.000000     2.405030     8.711260
   45     8.751922     1.000000     2.453769     8.775474
   46     8.811463     1.000000     2.497733     8.834149
   47     8.865648     1.000000     2.536664     8.887215
   48     8.913545     1.000000     2.570150     8.934291
   49     8.955876     1.000000     2.598168     8.975522
   50     8.992372     1.000000     2.620307     9.010466
   51     9.021644     1.000000     2.636694     9.039521
   52     9.050921     1.000000     2.648874     9.065411
   53     9.063642     1.000000     2.651761     9.079574
   54     9.079543     1.000000     2.651232     9.093019
   55     9.101069     1.000000     2.649023     9.105410
   56     9.075322     1.000000     2.629109     9.093486
   57     9.092324     1.000000     2.613028     9.094016
   58     9.077848     1.000000     2.590766     9.083001
   59     9.055739     1.000000     2.557671     9.060370
   60     9.037239     1.000000     2.522405     9.036135
   61     8.995746     1.000000     2.476368     8.998437
   62     8.977855     1.000000     2.433923     8.967833
   63     8.921378     1.000000     2.378907     8.913453
   64     8.864856     1.000000     2.321221     8.855832
   65     8.771178     1.000000     2.244072     8.772604
   66     8.727340     1.000000     2.176207     8.711392
   67     8.653585     1.000000     2.108778     8.636513
   68     8.573665     1.000000     2.040348     8.556017
   69     8.453547     1.000000     1.955601     8.451910
   70     8.360719     1.000000     1.870208     8.359554
   71     8.264138     1.000000     1.788414     8.262949
   72     8.163201     1.000000     1.706077     8.161986
   73     8.057390     1.000000     1.622962     8.056169
   74     7.946381     1.000000     1.539186     7.945167
   75     7.829949     1.000000     1.454994     7.828747
   76     7.707903     1.000000     1.370677     7.706716
   77     7.580063     1.000000     1.286545     7.578894
   78     7.446239     1.000000     1.202922     7.445090
   79     7.306229     1.000000     1.120131     7.305101
   80     7.159804     1.000000     1.038494     7.158698
   81     7.006706     1.000000     0.958333     7.005623
   82     6.846643     1.000000     0.879963     6.845584
   83     6.679276     1.000000     0.803694     6.678243
   84     6.504212     1.000000     0.729825     6.503206
   85     6.320992     1.000000     0.658650     6.320015
   86     6.129075     1.000000     0.590448     6.128127
   87     5.927813     1.000000     0.525490     5.926896
   88     5.716431     1.000000     0.464033     5.715547
   89     5.493982     1.000000     0.406319     5.493133
   90     5.259299     1.000000     0.352576     5.258485
   91     5.010908     1.000000     0.303017     5.010133
   92     4.746928     1.000000     0.257838     4.746194
   93     4.464878     1.000000     0.217217     4.464188
   94     4.161396     1.000000     0.181316     4.160752
   95     3.831728     1.000000     0.150275     3.831136
   96     3.468795     1.000000     0.124218     3.468258
   97     3.061211     1.000000     0.103248     3.060738
   98     2.588477     1.000000     0.087447     2.588077
   99     2.005689     1.000000     0.076879     2.005378
  100     1.158176     1.000000     0.071584     1.157997
  101     1.158176     1.000000     0.071584     1.157997
  102     2.005689     1.000000     0.076879     2.005378
  103     2.588477     1.000000     0.087447     2.588077
  104     3.061211     1.000000     0.103248     3.060738
  105     3.468795     1.000000     0.124218     3.468258
  106     3.831728     1.000000     0.150275     3.831136
  107     4.161396     1.000000     0.181316     4.160752
  108     4.464878     1.000000     0.217217     4.464188
  109     4.746928     1.000000     0.257838     4.746194
  110     5.010908     1.000000     0.303017     5.010133
  111     5.259299     1.000000     0.352576     5.258485
  112     5.493982     1.000000     0.406319     5.493133
  113     5.716431     1.000000     0.464033     5.715547
  114     5.927813     1.000000     0.525490     5.926896
  115     6.129075     1.000000     0.590448     6.128127
  116     6.320992     1.000000     0.658650     6.320015
  117     6.504212     1.000000     0.729825     6.503206
  118     6.679276     1.000000     0.803694     6.678243
  119     6.846643     1.000000     0.879963     6.845584
  120     7.006706     1.000000     0.958333     7.005623
  121     7.159804     1.000000     1.038494     7.158698
  122     7.306229     1.000000     1.120131     7.305101
  123     7.446239     1.000000     1.202922     7.445090
  124     7.580063     1.000000     1.286545     7.578894
  125     7.707903     1.000000     1.370677     7.706716
  126     7.829949     1.000000     1.454994     7.828747
  127     7.946381     1.000000     1.539186     7.945167
  128     8.057390     1.000000     1.622962     8.056169
  129     8.163201     1.000000     1.706077     8.161986
  130     8.264138     1.000000     1.788414     8.262949
  131     8.360719     1.000000     1.870208     8.359554
  132     8.453547     1.000000     1.955601     8.451910
  133     8.573665     1.000000     2.040348     8.556017
  134     8.653585     1.000000     2.108778     8.636513
  135     8.727340     1.000000     2.176207     8.711392
  136     8.771178     1.000000     2.244072     8.772604
  137     8.864856     1.000000     2.321221     8.855832
  138     8.921378     1.000000     2.378907     8.913453
  139     8.977855     1.000000     2.433923     8.967833
  140     8.995746     1.000000     2.476368     8.998437
  141     9.037239     1.000000     2.522405     9.036135
  142     9.055739     1.000000     2.557671     9.060370
  143     9.077848     1.000000     2.590766     9.083001
  144     9.092324     1.000000     2.613028     9.094016
  145     9.075322     1.000000     2.629109     9.093486
  146     9.101069     1.000000     2.649023     9.105410
  147     9.079543     1.000000     2.651232     9.093019
  148     9.063642     1.000000     2.651761     9.079574
  149     9.050921     1.000000     2.648874     9.065411
  150     9.021644     1.000000     2.636694     9.039521
  151     8.992372     1.000000     2.620307     9.010466
  152     8.955876     1.000000     2.598168     8.975522
  153     8.913545     1.000000     2.570150     8.934291
  154     8.865648     1.000000     2.536664     8.887215
  155     8.811463     1.000000     2.497733     8.834149
  156     8.751922     1.000000     2.453769     8.775474
  157     8.686692     1.000000     2.405030     8.711260
  158     8.616845     1.000000     2.352039     8.642367
  159     8.545188     1.000000     2.296511     8.570365
  160     8.464369     1.000000     2.235587     8.490485
  161     8.380408     1.000000     2.170786     8.405613
  162     8.286636     1.000000     2.102445     8.314526
  163     8.191025     1.000000     2.031433     8.218629
  164     8.085162     1.000000     1.956990     8.115829
  165     7.980306     1.000000     1.880000     8.007896
  166     7.866550     1.000000     1.800843     7.894491
  167     7.749408     1.000000     1.720535     7.777385
  168     7.631655     1.000000     1.639886     7.656770
  169     7.502855     1.000000     1.558854     7.531490
  170     7.373291     1.000000     1.477004     7.400550
  171     7.232965     1.000000     1.394026     7.264139
  172     7.095742     1.000000     1.312934     7.127406
  173     6.957150     1.000000     1.232702     6.983791
  174     6.808838     1.000000     1.151766     6.835632
  175     6.659917     1.000000     1.073839     6.687461
  176     6.507299     1.000000     0.997560     6.532350
  177     6.349204     1.000000     0.922451     6.374110
  178     6.194410     1.000000     0.848433     6.212192
  179     6.033062     1.000000     0.777853     6.051132
  180     5.868144     1.000000     0.711610     5.890268
  181     5.695847     1.000000     0.648930     5.724590
  182     5.517657     1.000000     0.587885     5.552480
  183     5.348752     1.000000     0.529462     5.376275
  184     5.175522     1.000000     0.473423     5.195158
  185     4.996949     1.000000     0.419976     5.012862
  186     4.813500     1.000000     0.371389     4.832289
  187     4.622422     1.000000     0.326852     4.646212
  188     4.434109     1.000000     0.284614     4.452353
  189     4.237105     1.000000     0.245413     4.254286
  190     4.037716     1.000000     0.209782     4.052111
  191     3.828916     1.000000     0.178108     3.844274
  192     3.608749     1.000000     0.149642     3.625016
  193     3.382268     1.000000     0.123971     3.395425
  194     3.140688     1.000000     0.101876     3.153759
  195     2.883516     1.000000     0.082700     2.893982
  196     2.603162     1.000000     0.066894     2.613854
  197     2.291819     1.000000     0.054456     2.301687
  198     1.934894     1.000000     0.044992     1.942085
  199     1.498964     1.000000     0.038609     1.501945
  200     0.865423     1.000000     0.035308     0.865799
