   id,    y+,          layer,       ux_1,        yplus_1
    1     0.949564     1.000000     0.061190     0.952729
    2     1.665523     1.000000     0.069656     1.672092
    3     2.210426     1.000000     0.088958     2.220967
    4     2.736322     1.000000     0.122426     2.750353
    5     3.296009     1.000000     0.169748     3.309037
    6     3.884207     1.000000     0.220898     3.887941
    7     4.434504     1.000000     0.258990     4.425283
    8     4.861623     1.000000     0.274079     4.842645
    9     5.120067     1.000000     0.253548     5.088233
   10     5.115225     1.000000     0.211360     5.098897
   11     4.914310     1.000000     0.176137     4.917644
   12     4.576431     1.000000     0.147510     4.596310
   13     4.187610     1.000000     0.128086     4.210143
   14     3.792170     1.000000     0.117231     3.814019
   15     3.432584     1.000000     0.111770     3.452818
   16     3.122276     1.000000     0.106764     3.141278
   17     2.856948     1.000000     0.099000     2.869800
   18     2.601563     1.000000     0.085628     2.609227
   19     2.318476     1.000000     0.065579     2.320667
   20     1.961960     1.000000     0.038590     1.959327
   21     1.459541     1.000000     0.005074     1.454380
   22     0.469561     1.000000     0.035281     0.449168
   23     1.379446     1.000000     0.084045     1.395638
   24     2.065444     1.000000     0.142117     2.086763
   25     2.629539     1.000000     0.209715     2.649910
   26     3.144737     1.000000     0.288866     3.163324
   27     3.615348     1.000000     0.377251     3.644299
   28     4.074776     1.000000     0.474900     4.092253
   29     4.513003     1.000000     0.587213     4.542308
   30     4.910974     1.000000     0.707532     4.980905
   31     5.348182     1.000000     0.826041     5.370891
   32     5.737280     1.000000     0.951563     5.743881
   33     6.058611     1.000000     1.091051     6.103004
   34     6.469343     1.000000     1.215226     6.438115
   35     6.607665     1.000000     1.357316     6.748518
   36     7.137544     1.000000     1.477781     7.034877
   37     7.085575     1.000000     1.603462     7.273689
   38     7.689452     1.000000     1.726839     7.545967
   39     7.444851     1.000000     1.795331     7.648631
   40     8.040705     1.000000     1.935757     7.907607
   41     7.828954     1.000000     1.978571     7.975838
   42     8.248464     1.000000     2.118749     8.193764
   43     8.330614     1.000000     2.185124     8.340916
   44     8.282859     1.000000     2.228563     8.372802
   45     8.597356     1.000000     2.333948     8.550296
   46     8.522473     1.000000     2.363594     8.596038
   47     8.668879     1.000000     2.422889     8.678964
   48     8.768330     1.000000     2.480865     8.777124
   49     8.777087     1.000000     2.507004     8.816465
   50     8.859597     1.000000     2.541559     8.873616
   51     8.905438     1.000000     2.569056     8.922949
   52     8.936537     1.000000     2.584801     8.955490
   53     8.969469     1.000000     2.596394     8.985159
   54     8.993533     1.000000     2.601483     9.007330
   55     9.008638     1.000000     2.599230     9.021002
   56     9.016677     1.000000     2.590852     9.028432
   57     9.020495     1.000000     2.575932     9.028317
   58     9.013771     1.000000     2.554425     9.021049
   59     9.002992     1.000000     2.527395     9.007787
   60     8.984234     1.000000     2.493501     8.985309
   61     8.955237     1.000000     2.453976     8.957713
   62     8.928771     1.000000     2.409287     8.922485
   63     8.884027     1.000000     2.356946     8.875810
   64     8.831165     1.000000     2.300400     8.825436
   65     8.777504     1.000000     2.239516     8.760934
   66     8.694561     1.000000     2.171992     8.684444
   67     8.599999     1.000000     2.090549     8.600210
   68     8.545953     1.000000     2.022990     8.529143
   69     8.428386     1.000000     1.943431     8.426778
   70     8.337292     1.000000     1.859642     8.336101
   71     8.242115     1.000000     1.778936     8.240912
   72     8.142373     1.000000     1.697491     8.141151
   73     8.037624     1.000000     1.615158     8.036399
