   id,    y+,          layer,       ux_1,        yplus_1
    1     0.462073     1.000000     0.021713     0.460658
    2     0.796782     1.000000     0.022104     0.794306
    3     1.019119     1.000000     0.022791     1.015827
    4     1.187635     1.000000     0.023543     1.183235
    5     1.315306     1.000000     0.023995     1.310087
    6     1.404629     1.000000     0.023623     1.398065
    7     1.450089     1.000000     0.021887     1.442164
    8     1.443254     1.000000     0.018334     1.433848
    9     1.371474     1.000000     0.012526     1.360226
   10     1.213522     1.000000     0.004118     1.199567
   11     0.919171     1.000000     0.007189     0.897998
   12     0.036480     1.000000     0.021548     0.200710
   13     1.018620     1.000000     0.039253     1.041149
   14     1.503012     1.000000     0.060616     1.520639
   15     1.908342     1.000000     0.085908     1.925311
   16     2.276595     1.000000     0.115586     2.290850
   17     2.620459     1.000000     0.150415     2.635114
   18     2.945968     1.000000     0.190297     2.964430
   19     3.262850     1.000000     0.236212     3.283251
   20     3.586830     1.000000     0.288848     3.603377
   21     3.892525     1.000000     0.346319     3.915478
   22     4.190376     1.000000     0.408791     4.212080
   23     4.481994     1.000000     0.477506     4.503818
   24     4.768846     1.000000     0.553255     4.792200
   25     5.047358     1.000000     0.635467     5.081251
   26     5.318585     1.000000     0.721403     5.362217
   27     5.602414     1.000000     0.810305     5.631916
   28     5.869398     1.000000     0.901471     5.885021
   29     6.118476     1.000000     1.001272     6.137539
   30     6.359789     1.000000     1.104899     6.386166
   31     6.597464     1.000000     1.209050     6.628633
   32     6.813041     1.000000     1.313690     6.853235
   33     7.042260     1.000000     1.410768     7.058435
   34     7.194763     1.000000     1.513494     7.246936
   35     7.457526     1.000000     1.615901     7.450419
   36     7.515464     1.000000     1.707476     7.597073
   37     7.826052     1.000000     1.814583     7.796929
   38     7.812768     1.000000     1.877091     7.885668
   39     8.077638     1.000000     2.002130     8.081621
   40     8.186615     1.000000     2.060129     8.200467
   41     8.178971     1.000000     2.133892     8.267971
   42     8.553217     1.000000     2.239125     8.464737
   43     8.296579     1.000000     2.243051     8.439248
   44     8.679916     1.000000     2.355383     8.606173
   45     8.616728     1.000000     2.393417     8.674396
   46     8.712780     1.000000     2.441948     8.731630
   47     8.789782     1.000000     2.493877     8.810839
   48     8.837798     1.000000     2.529341     8.862479
   49     8.898440     1.000000     2.564198     8.916349
   50     8.930263     1.000000     2.588203     8.954926
   51     8.990165     1.000000     2.612958     8.998749
   52     8.988129     1.000000     2.620532     9.017076
   53     9.047952     1.000000     2.634184     9.050006
   54     9.034172     1.000000     2.631377     9.058283
   55     9.074013     1.000000     2.630872     9.075496
   56     9.052824     1.000000     2.615907     9.070473
   57     9.062807     1.000000     2.597878     9.068198
   58     9.065767     1.000000     2.581378     9.066699
   59     9.027762     1.000000     2.545924     9.038960
   60     9.019964     1.000000     2.510484     9.017573
   61     8.989715     1.000000     2.472272     8.989950
   62     8.956169     1.000000     2.424851     8.950202
   63     8.911410     1.000000     2.370951     8.902080
   64     8.856212     1.000000     2.313361     8.849826
   65     8.800965     1.000000     2.251392     8.783504
   66     8.715815     1.000000     2.182658     8.704916
   67     8.618608     1.000000     2.099822     8.619005
   68     8.564459     1.000000     2.031627     8.547151
   69     8.444836     1.000000     1.951215     8.443192
   70     8.352802     1.000000     1.866596     8.351618
   71     8.256793     1.000000     1.785267     8.255595
   72     8.156302     1.000000     1.703267     8.155083
   73     8.050868     1.000000     1.620430     8.049646
   74     7.940193     1.000000     1.536899     7.938978
   75     7.824065     1.000000     1.452929     7.822862
   76     7.702300     1.000000     1.368814     7.701113
   77     7.574721     1.000000     1.284870     7.573553
   78     7.441144     1.000000     1.201421     7.439995
   79     7.301366     1.000000     1.118792     7.300238
   80     7.155162     1.000000     1.037306     7.154056
   81     7.002274     1.000000     0.957285     7.001191
   82     6.842411     1.000000     0.879045     6.841353
   83     6.675237     1.000000     0.802897     6.674205
   84     6.500359     1.000000     0.729140     6.499354
   85     6.317318     1.000000     0.658069     6.316342
   86     6.125576     1.000000     0.589963     6.124628
   87     5.924485     1.000000     0.525093     5.923568
   88     5.713270     1.000000     0.463716     5.712387
   89     5.490987     1.000000     0.406075     5.490138
   90     5.256468     1.000000     0.352399     5.255655
   91     5.008243     1.000000     0.302900     5.007468
   92     4.744430     1.000000     0.257774     4.743696
   93     4.462550     1.000000     0.217200     4.461860
   94     4.159244     1.000000     0.181340     4.158600
   95     3.829760     1.000000     0.150334     3.829168
   96     3.467023     1.000000     0.124306     3.466487
   97     3.059655     1.000000     0.103359     3.059182
   98     2.587166     1.000000     0.087575     2.586766
   99     2.004675     1.000000     0.077018     2.004365
  100     1.157591     1.000000     0.071729     1.157412
  101     1.157591     1.000000     0.071729     1.157412
  102     2.004675     1.000000     0.077018     2.004365
  103     2.587166     1.000000     0.087575     2.586766
  104     3.059655     1.000000     0.103359     3.059182
  105     3.467023     1.000000     0.124306     3.466487
  106     3.829760     1.000000     0.150334     3.829168
  107     4.159244     1.000000     0.181340     4.158600
  108     4.462550     1.000000     0.217200     4.461860
  109     4.744430     1.000000     0.257774     4.743696
  110     5.008243     1.000000     0.302900     5.007468
  111     5.256468     1.000000     0.352399     5.255655
  112     5.490987     1.000000     0.406075     5.490138
  113     5.713270     1.000000     0.463716     5.712387
  114     5.924485     1.000000     0.525093     5.923568
  115     6.125576     1.000000     0.589963     6.124628
  116     6.317318     1.000000     0.658069     6.316342
  117     6.500359     1.000000     0.729140     6.499354
  118     6.675237     1.000000     0.802897     6.674205
  119     6.842411     1.000000     0.879045     6.841353
  120     7.002274     1.000000     0.957285     7.001191
  121     7.155162     1.000000     1.037306     7.154056
  122     7.301366     1.000000     1.118792     7.300238
  123     7.441144     1.000000     1.201421     7.439995
  124     7.574721     1.000000     1.284870     7.573553
  125     7.702300     1.000000     1.368814     7.701113
  126     7.824065     1.000000     1.452929     7.822862
  127     7.940193     1.000000     1.536899     7.938978
  128     8.050868     1.000000     1.620430     8.049646
  129     8.156302     1.000000     1.703267     8.155083
  130     8.256793     1.000000     1.785267     8.255595
  131     8.352802     1.000000     1.866596     8.351618
  132     8.444836     1.000000     1.951215     8.443192
  133     8.564459     1.000000     2.031627     8.547151
  134     8.618608     1.000000     2.099822     8.619005
  135     8.715815     1.000000     2.182658     8.704916
  136     8.800965     1.000000     2.251392     8.783504
  137     8.856212     1.000000     2.313361     8.849826
  138     8.911410     1.000000     2.370951     8.902080
  139     8.956169     1.000000     2.424851     8.950202
  140     8.989715     1.000000     2.472272     8.989950
  141     9.019964     1.000000     2.510484     9.017573
  142     9.027762     1.000000     2.545924     9.038960
  143     9.065767     1.000000     2.581378     9.066699
  144     9.062807     1.000000     2.597878     9.068198
  145     9.052824     1.000000     2.615907     9.070473
  146     9.074013     1.000000     2.630872     9.075496
  147     9.034172     1.000000     2.631377     9.058283
  148     9.047952     1.000000     2.634184     9.050006
  149     8.988129     1.000000     2.620532     9.017076
  150     8.990165     1.000000     2.612958     8.998749
  151     8.930263     1.000000     2.588203     8.954926
  152     8.898440     1.000000     2.564198     8.916349
  153     8.837798     1.000000     2.529341     8.862479
  154     8.789782     1.000000     2.493877     8.810839
  155     8.712780     1.000000     2.441948     8.731630
  156     8.616728     1.000000     2.393417     8.674396
  157     8.679916     1.000000     2.355383     8.606173
  158     8.296579     1.000000     2.243051     8.439248
  159     8.553217     1.000000     2.239125     8.464737
  160     8.178971     1.000000     2.133892     8.267971
  161     8.186615     1.000000     2.060129     8.200467
  162     8.077638     1.000000     2.002130     8.081621
  163     7.812768     1.000000     1.877091     7.885668
  164     7.826052     1.000000     1.814583     7.796929
  165     7.515464     1.000000     1.707476     7.597073
  166     7.457526     1.000000     1.615901     7.450419
  167     7.194763     1.000000     1.513494     7.246936
  168     7.042260     1.000000     1.410768     7.058435
  169     6.813041     1.000000     1.313690     6.853235
  170     6.597464     1.000000     1.209050     6.628633
  171     6.359789     1.000000     1.104899     6.386166
  172     6.118476     1.000000     1.001272     6.137539
  173     5.869398     1.000000     0.901471     5.885021
  174     5.602414     1.000000     0.810305     5.631916
  175     5.318585     1.000000     0.721403     5.362217
  176     5.047358     1.000000     0.635467     5.081251
  177     4.768846     1.000000     0.553255     4.792200
  178     4.481994     1.000000     0.477506     4.503818
  179     4.190376     1.000000     0.408791     4.212080
  180     3.892525     1.000000     0.346319     3.915478
  181     3.586830     1.000000     0.288848     3.603377
  182     3.262850     1.000000     0.236212     3.283251
  183     2.945968     1.000000     0.190297     2.964430
  184     2.620459     1.000000     0.150415     2.635114
  185     2.276595     1.000000     0.115586     2.290850
  186     1.908342     1.000000     0.085908     1.925311
  187     1.503012     1.000000     0.060616     1.520639
  188     1.018620     1.000000     0.039253     1.041149
  189     0.036480     1.000000     0.021548     0.200710
  190     0.919171     1.000000     0.007189     0.897998
  191     1.213522     1.000000     0.004118     1.199567
  192     1.371474     1.000000     0.012526     1.360226
  193     1.443254     1.000000     0.018334     1.433848
  194     1.450089     1.000000     0.021887     1.442164
  195     1.404629     1.000000     0.023623     1.398065
  196     1.315306     1.000000     0.023995     1.310087
  197     1.187635     1.000000     0.023543     1.183235
  198     1.019119     1.000000     0.022791     1.015827
  199     0.796782     1.000000     0.022104     0.794306
  200     0.462073     1.000000     0.021713     0.460658
